id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id3552682,1,2016-06-27 09:55:13,2016-06-27 10:17:10,1,-74.0039825439,40.7130126953,-73.9791946411,40.7499237061,N,1317
id3390316,2,2016-06-05 13:47:23,2016-06-05 13:51:34,1,-73.9838867188,40.7381973267,-73.9912033081,40.7278709412,N,251
id2070428,1,2016-02-28 02:23:02,2016-02-28 02:31:08,1,-73.9803695679,40.7424201965,-73.962852478,40.760635376,N,486
id0809232,2,2016-04-01 12:12:25,2016-04-01 12:23:17,1,-73.9795379639,40.7533607483,-73.9639968872,40.763458252,N,652
id2352683,1,2016-04-09 03:34:27,2016-04-09 03:41:30,1,-73.9958648682,40.7588119507,-73.9933242798,40.740322113,N,423
id1603037,1,2016-06-25 10:36:26,2016-06-25 10:55:49,1,-73.9935531616,40.7471733093,-74.0061416626,40.7043838501,N,1163
id3321406,2,2016-06-03 08:15:05,2016-06-03 08:56:30,1,-73.9552307129,40.7771339417,-73.7887496948,40.6414718628,N,2485
id0129640,2,2016-02-14 13:27:56,2016-02-14 13:49:19,1,-73.9565811157,40.77135849,-73.9749679565,40.7327919006,N,1283
id3587298,1,2016-02-27 21:56:01,2016-02-27 22:14:51,1,-73.9837646484,40.749874115,-73.9588317871,40.8009605408,N,1130
id2104175,1,2016-06-20 23:07:16,2016-06-20 23:18:50,1,-73.9584350586,40.7131919861,-73.9495391846,40.6802520752,N,694
id3973319,2,2016-06-13 21:57:27,2016-06-13 22:12:19,1,-73.9942169189,40.713306427,-73.9828491211,40.6922988892,N,892
id1410897,1,2016-03-23 14:10:39,2016-03-23 14:49:30,1,-73.9821166992,40.7563514709,-73.8656921387,40.7709884644,N,2331
id0266980,1,2016-05-17 10:47:51,2016-05-17 11:12:30,1,-73.9709396362,40.7616691589,-73.9962387085,40.7253684998,N,1479
id2822549,2,2016-05-21 13:03:24,2016-05-21 13:20:52,1,-73.9982681274,40.7200393677,-74.0103607178,40.6721382141,N,1048
id3075902,2,2016-05-10 19:27:38,2016-05-10 19:44:40,2,-74.0055007935,40.7065887451,-73.9858169556,40.7442016602,N,1022
id0023813,1,2016-04-17 14:38:30,2016-04-17 15:16:19,1,-73.9903106689,40.7565803528,-73.8709182739,40.7739295959,N,2269
id3970352,1,2016-01-09 12:55:35,2016-01-09 13:07:22,1,-74.0089950562,40.7125892639,-73.9986343384,40.7228088379,N,707
id3361153,1,2016-03-11 07:11:23,2016-03-11 07:20:09,1,-73.9945602417,40.7505264282,-73.9785003662,40.7561912537,N,526
id1870624,1,2016-01-05 15:29:54,2016-01-05 15:39:07,3,-73.9515151978,40.7702484131,-73.9585266113,40.761516571,N,553
id2403238,1,2016-06-23 23:00:09,2016-06-23 23:04:46,1,-73.988067627,40.7280807495,-73.9807510376,40.7214698792,N,277
id3323083,1,2016-05-27 14:26:12,2016-05-27 14:46:01,2,-73.9781265259,40.7583427429,-73.9922485352,40.7305412292,N,1189
id3720663,1,2016-05-10 16:14:56,2016-05-10 16:40:19,1,-73.9777679443,40.7740783691,-73.9471435547,40.7759933472,N,1523
id0578558,1,2016-04-21 21:28:27,2016-04-21 21:52:37,2,-73.9885482788,40.7459793091,-73.9708862305,40.793384552,N,1450
id2573056,2,2016-04-14 13:27:52,2016-04-14 13:46:14,2,-73.9747238159,40.7511367798,-73.9544448853,40.7641181946,N,1102
id2129090,1,2016-03-14 14:05:39,2016-03-14 14:28:05,1,-73.9750900269,40.7587661743,-73.9532012939,40.7650680542,N,1346
id3961107,1,2016-03-19 01:12:46,2016-03-19 01:18:49,1,-73.9764709473,40.739780426,-73.9806671143,40.72996521,N,363
id3326491,2,2016-02-12 07:41:56,2016-02-12 07:51:15,1,-73.9796447754,40.7396316528,-73.9947280884,40.7234954834,N,559
id0718344,2,2016-06-13 15:52:20,2016-06-13 16:16:58,1,-74.0163269043,40.704990387,-73.9821090698,40.7737503052,N,1478
id3188770,1,2016-01-03 16:59:02,2016-01-03 17:04:50,1,-73.9851379395,40.7321929932,-73.9896392822,40.7208747864,N,348
id1956279,2,2016-02-26 08:37:00,2016-02-26 08:43:15,1,-73.9816589355,40.7789726257,-73.9698104858,40.7921295166,N,375
id2391523,1,2016-05-18 21:50:24,2016-05-18 22:10:41,3,-73.9661636353,40.7669143677,-73.9921798706,40.725818634,N,1217
id2662609,1,2016-04-10 19:11:03,2016-04-10 19:25:39,1,-73.9654693604,40.7658462524,-73.9609527588,40.7969284058,N,876
id2067879,2,2016-01-19 23:19:01,2016-01-19 23:44:58,1,-73.9968185425,40.7528610229,-73.8090057373,40.8168754578,N,1557
id1939961,1,2016-05-07 13:18:52,2016-05-07 13:46:19,1,-73.9772567749,40.7742462158,-73.9900131226,40.7326545715,N,1647
id0675800,2,2016-02-15 09:25:15,2016-02-15 09:35:49,6,-73.9777526855,40.7546310425,-74.0016784668,40.7564201355,N,634
id2569332,1,2016-04-13 14:24:47,2016-04-13 14:30:52,1,-73.9687271118,40.7864379883,-73.9604949951,40.7781524658,N,365
id0526266,2,2016-05-15 09:42:58,2016-05-15 09:56:37,1,-73.9348831177,40.8010101318,-73.983001709,40.722568512,N,819
id3827863,2,2016-04-19 11:29:08,2016-04-19 12:27:56,3,-73.7928924561,40.6578788757,-73.8091888428,40.6901817322,N,3528
id1388344,2,2016-01-02 15:41:11,2016-01-02 16:01:39,2,-73.9823379517,40.7628097534,-73.9828567505,40.7487792969,N,1228
id1079955,1,2016-04-22 11:28:00,2016-04-22 12:11:27,1,-73.9948501587,40.7187805176,-73.9834136963,40.7588500977,N,2607
id0256505,1,2016-03-14 15:04:38,2016-03-14 15:16:13,1,-73.9944839478,40.7450866699,-73.9989929199,40.7227096558,N,695
id1530524,1,2016-03-19 17:41:05,2016-03-19 17:48:57,1,-73.9534225464,40.7676582336,-73.9803161621,40.7377815247,N,472
id1674872,1,2016-02-29 02:46:24,2016-02-29 02:55:10,1,-73.9518508911,40.7140693665,-73.9679718018,40.6887207031,N,526
id1040444,2,2016-01-07 17:01:32,2016-01-07 17:13:33,4,-73.9769515991,40.7520217896,-74.0012130737,40.7516136169,N,721
id1674996,1,2016-05-13 12:32:12,2016-05-13 12:40:44,1,-74.0018005371,40.7261352539,-74.0071563721,40.7408065796,N,512
id1965939,1,2016-05-24 12:16:33,2016-05-24 12:28:33,1,-73.9940948486,40.7615509033,-73.9806365967,40.7896385193,N,720
id0442192,1,2016-04-10 16:07:46,2016-04-10 16:10:40,1,-74.0063247681,40.7333908081,-74.0000076294,40.7432556152,N,174
id0515898,2,2016-05-21 17:38:55,2016-05-21 17:46:53,1,-74.002571106,40.7393112183,-73.9918823242,40.7449989319,N,478
id1182327,2,2016-02-29 11:22:35,2016-02-29 11:35:43,1,-73.9483032227,40.7744369507,-73.9637069702,40.7554855347,N,788
id3913101,1,2016-06-25 22:05:46,2016-06-25 22:22:29,2,-74.001411438,40.7614326477,-73.9246292114,40.8640289307,N,1003
id1680350,1,2016-03-18 20:56:16,2016-03-18 20:59:51,1,-74.0029830933,40.7233123779,-74.0015563965,40.7288246155,N,215
id0913838,2,2016-02-03 16:22:50,2016-02-03 16:37:20,5,-73.9783325195,40.754070282,-73.9597320557,40.7727584839,N,870
id3896508,2,2016-06-07 22:32:32,2016-06-07 22:46:06,1,-73.8633804321,40.7698898315,-73.8371276855,40.7213592529,N,814
id2846400,2,2016-03-16 20:13:12,2016-03-16 20:23:49,1,-73.997253418,40.7179603577,-73.9992523193,40.7300186157,N,637
id1510700,2,2016-02-20 21:58:13,2016-02-20 21:59:10,1,-73.9583969116,40.7726287842,-73.9551315308,40.7742424011,N,57
id0813128,2,2016-02-20 18:57:43,2016-02-20 19:07:32,2,-73.9912033081,40.7495536804,-73.9791946411,40.746307373,N,589
id1158195,1,2016-03-24 17:58:51,2016-03-24 18:36:46,1,-73.9923248291,40.73072052,-73.872505188,40.7744979858,N,2275
id0959273,1,2016-03-20 23:16:39,2016-03-20 23:27:26,1,-73.9888381958,40.768901825,-73.9555358887,40.7717437744,N,647
id0739660,1,2016-05-16 13:07:10,2016-05-16 13:34:18,3,-73.9647216797,40.8066062927,-73.9845733643,40.7606773376,N,1628
id3769871,1,2016-06-17 17:32:59,2016-06-17 18:11:56,1,-73.943145752,40.7896308899,-73.9894790649,40.7627639771,N,2337
id1818021,1,2016-03-23 00:34:10,2016-03-23 00:45:24,1,-74.0111694336,40.7036056519,-74.0056915283,40.7413597107,N,674
id0982165,2,2016-04-12 21:29:16,2016-04-12 21:49:06,1,-73.9803161621,40.7588500977,-74.0101394653,40.7050819397,N,1190
id1519515,2,2016-06-11 12:52:19,2016-06-11 13:12:10,1,-73.9504928589,40.7712669373,-74.0012435913,40.7464904785,N,1191
id1082443,2,2016-02-25 14:56:26,2016-02-25 15:09:31,1,-73.987121582,40.7684745789,-73.9758224487,40.7597122192,N,785
id2934884,2,2016-01-07 19:32:15,2016-01-07 19:40:55,1,-73.9863891602,40.7566146851,-73.9997940063,40.761631012,N,520
id1205949,1,2016-06-05 18:43:14,2016-06-05 18:46:52,1,-73.9626083374,40.7588272095,-73.9541931152,40.7640533447,N,218
id2592310,2,2016-06-13 07:20:46,2016-06-13 07:24:28,1,-73.9904174805,40.7568817139,-73.9819793701,40.7599906921,N,222
id0883711,1,2016-01-16 21:22:41,2016-01-16 21:42:45,1,-73.993637085,40.7342185974,-73.9614639282,40.7692985535,N,1204
id0283075,1,2016-04-06 23:42:26,2016-04-07 00:12:08,1,-73.7824783325,40.6446456909,-73.9811248779,40.7208862305,N,1782
id2107497,1,2016-05-13 20:46:55,2016-05-13 21:06:29,2,-74.0139541626,40.7128334045,-73.9975509644,40.7180747986,N,1174
id2090852,2,2016-01-28 11:25:20,2016-01-28 11:30:56,1,-73.9688262939,40.754196167,-73.9727554321,40.7466125488,N,336
id1297351,2,2016-06-24 14:24:31,2016-06-24 14:32:21,1,-74.003288269,40.7269706726,-73.9933013916,40.7391204834,N,470
id0667605,2,2016-05-27 16:17:36,2016-05-27 16:23:22,1,-73.9910583496,40.7395706177,-74.0061035156,40.7345504761,N,346
id1476107,1,2016-05-22 15:41:29,2016-05-22 15:48:28,1,-73.9668807983,40.7886810303,-73.9628219604,40.7757263184,N,419
id0673727,2,2016-05-18 19:15:27,2016-05-18 19:44:49,1,-73.9616775513,40.7759666443,-73.8573913574,40.7332839966,N,1762
id2030290,1,2016-03-31 11:33:30,2016-03-31 12:12:31,3,-73.8643188477,40.7698287964,-73.9858627319,40.7609519958,N,2341
id3770790,1,2016-02-13 13:12:49,2016-02-13 13:19:35,1,-73.9922332764,40.7442817688,-74.0082321167,40.7488250732,N,406
id3025098,2,2016-01-20 19:21:31,2016-01-20 19:31:27,1,-73.9769821167,40.7503013611,-73.9991226196,40.7395095825,N,596
id3333094,2,2016-06-02 23:34:00,2016-06-02 23:41:15,1,-73.9734649658,40.75522995,-73.9773635864,40.7428207397,N,435
id2228940,1,2016-02-04 13:22:02,2016-02-04 13:40:30,1,-73.9818649292,40.7587738037,-73.9702224731,40.7841415405,N,1108
id2102594,1,2016-03-30 16:14:29,2016-03-30 17:01:33,1,-73.7898406982,40.6435585022,-73.970664978,40.6872787476,N,2824
id0010677,1,2016-04-29 10:40:34,2016-04-29 10:53:23,2,-73.991973877,40.7499961853,-73.9778823853,40.7548942566,N,769
id3194108,1,2016-06-01 11:48:41,2016-06-01 12:19:07,1,-74.005027771,40.7464523315,-73.9720077515,40.7457809448,N,1826
id2063827,1,2016-05-18 21:09:02,2016-05-18 21:18:55,1,-73.9814147949,40.7567329407,-73.9705657959,40.755695343,N,593
id0105610,1,2016-02-19 20:01:24,2016-02-19 20:35:49,3,-73.7897186279,40.6437072754,-73.9786987305,40.7503433228,N,2065
id3502065,1,2016-03-15 21:03:44,2016-03-15 21:14:37,1,-73.9740142822,40.7571525574,-73.9497375488,40.77709198,N,653
id3508035,2,2016-06-06 20:13:56,2016-06-06 20:45:20,6,-73.7881317139,40.6414604187,-73.9717712402,40.7494087219,N,1884
id3236276,2,2016-01-27 08:07:32,2016-01-27 08:24:01,1,-73.9560394287,40.7676086426,-73.9682006836,40.7866897583,N,989
id3277902,1,2016-04-09 15:04:31,2016-04-09 15:11:30,1,-73.9731674194,40.7556991577,-73.9886550903,40.736995697,N,419
id2335059,1,2016-05-27 11:10:32,2016-05-27 11:26:34,4,-73.9758071899,40.7606277466,-73.9877853394,40.7549209595,N,962
id2300865,1,2016-05-10 10:31:22,2016-05-10 10:35:25,1,-73.9658813477,40.762840271,-73.9609909058,40.7708740234,N,243
id3962434,2,2016-01-10 08:45:31,2016-01-10 08:51:44,2,-73.9892730713,40.7564888,-74.0027999878,40.7605018616,N,373
id2677672,1,2016-02-18 17:47:39,2016-02-18 17:54:03,2,-73.9457550049,40.7736816406,-73.9534301758,40.7810783386,N,384
id0589360,1,2016-05-22 17:34:08,2016-05-22 18:20:01,1,-73.8636779785,40.7697715759,-74.0072174072,40.7048950195,N,2753
id0970832,1,2016-03-12 20:39:39,2016-03-12 21:05:40,1,-74.0082473755,40.7473526001,-73.9794464111,40.71875,N,1561
id0694434,1,2016-01-26 23:40:14,2016-01-26 23:48:39,1,-74.0067977905,40.706073761,-73.9740219116,40.7440757751,N,505
id3729136,2,2016-01-30 15:15:47,2016-01-30 15:30:47,2,-73.9772720337,40.7573509216,-74.0024337769,40.7344017029,N,900
id2358953,2,2016-06-27 00:31:28,2016-06-27 01:06:44,1,-73.8708190918,40.7737388611,-73.8574981689,41.0178108215,N,2116
id0935429,1,2016-05-02 06:58:06,2016-05-02 07:08:17,1,-73.9990921021,40.7454910278,-73.9785614014,40.7623252869,N,611
id3056417,2,2016-04-11 14:18:21,2016-04-11 14:34:33,1,-73.9843597412,40.7427101135,-73.9877471924,40.7518882751,N,972
id1152886,2,2016-01-21 14:34:06,2016-01-21 14:44:10,1,-73.9616775513,40.7711791992,-73.9521102905,40.7843589783,N,604
id1796723,1,2016-02-09 15:54:53,2016-02-09 16:04:47,1,-73.9938583374,40.7357978821,-73.9946212769,40.7504615784,N,594
id0045014,1,2016-04-20 20:29:42,2016-04-20 20:39:16,1,-73.9501266479,40.7800865173,-73.9628295898,40.7626838684,N,574
id2648478,1,2016-01-18 11:13:59,2016-01-18 11:18:56,1,-73.9515762329,40.7664680481,-73.9602127075,40.7605400085,N,297
id0702030,1,2016-01-07 23:24:44,2016-01-07 23:26:25,1,-73.9992980957,40.7495346069,-74.0053634644,40.7435188293,N,101
id3024438,2,2016-06-10 22:24:37,2016-06-10 22:41:58,1,-73.9537200928,40.7752952576,-73.9911956787,40.7263183594,N,1041
id2146569,2,2016-06-23 22:17:35,2016-06-23 22:21:07,1,-73.9767990112,40.7499504089,-73.9815673828,40.7457695007,N,212
id2307151,1,2016-02-07 18:08:06,2016-02-07 18:15:08,1,-73.9619522095,40.8004455566,-73.9784164429,40.7827911377,N,422
id2049424,2,2016-03-02 20:15:07,2016-03-02 20:37:43,1,-73.9638900757,40.773651123,-74.0051116943,40.7514915466,N,1356
id2209089,1,2016-02-24 22:56:43,2016-02-24 23:03:39,1,-74.0069122314,40.7303619385,-74.0059432983,40.7270698547,N,416
id0391524,1,2016-04-06 12:14:40,2016-04-06 12:33:18,1,-73.9786453247,40.7480354309,-73.9701309204,40.7627372742,N,1118
id2681033,1,2016-06-17 10:01:39,2016-06-17 10:16:13,1,-73.9768295288,40.7882118225,-73.9837493896,40.7625312805,N,874
id2040275,1,2016-06-16 20:31:09,2016-06-16 20:36:30,1,-73.9369430542,40.7982330322,-73.9463806152,40.7808837891,N,321
id0073842,2,2016-03-30 23:49:41,2016-03-30 23:56:21,1,-73.9900512695,40.7380104065,-73.9909362793,40.7252159119,N,400
id3942339,1,2016-01-05 17:58:04,2016-01-05 18:13:38,1,-73.9788284302,40.7528038025,-73.9910354614,40.7504196167,N,934
id2991616,2,2016-03-19 19:51:34,2016-03-19 20:04:27,3,-73.9835662842,40.7555618286,-73.9823684692,40.766960144,N,773
id1047459,2,2016-01-22 17:31:53,2016-01-22 17:37:30,3,-73.9884109497,40.7589607239,-73.991897583,40.770690918,N,337
id1737558,1,2016-05-18 19:08:31,2016-05-18 19:12:25,1,-73.9602355957,40.7622299194,-73.950592041,40.7753143311,N,234
id2135557,2,2016-05-25 13:19:56,2016-05-25 13:27:50,5,-73.9702835083,40.764831543,-73.957572937,40.7824783325,N,474
id0659170,2,2016-03-26 13:07:08,2016-03-26 13:29:02,1,-73.9686584473,40.7645072937,-73.872833252,40.7714538574,N,1314
id1125774,1,2016-01-19 22:20:43,2016-01-19 22:28:45,2,-73.9945373535,40.740234375,-73.9761886597,40.7625923157,N,482
id1886740,1,2016-05-29 00:15:12,2016-05-29 00:24:38,1,-73.9851150513,40.7687263489,-73.9516677856,40.774433136,N,566
id1982306,2,2016-02-10 21:06:14,2016-02-10 21:09:23,2,-73.9849395752,40.7518577576,-73.983543396,40.7443351746,N,189
id2684106,2,2016-02-26 20:59:13,2016-02-26 21:14:26,2,-74.0010070801,40.7317810059,-73.9871520996,40.7710037231,N,913
id0038484,2,2016-03-09 13:41:11,2016-03-09 13:53:27,2,-73.9728546143,40.7644004822,-73.9718093872,40.7578887939,N,736
id1734208,2,2016-04-11 10:44:32,2016-04-11 10:56:26,6,-73.9970779419,40.7206382751,-73.9996337891,40.7458381653,N,714
id0561467,1,2016-02-09 06:58:53,2016-02-09 07:12:28,1,-73.9725494385,40.7940177917,-73.9540557861,40.7663002014,N,815
id3092788,2,2016-03-03 22:01:32,2016-03-03 22:17:44,2,-73.9847717285,40.7105712891,-73.9894104004,40.7301483154,N,972
id1741519,2,2016-03-26 14:47:44,2016-03-26 14:53:02,1,-73.9847869873,40.7430152893,-73.9936065674,40.7352867126,N,318
id1330402,2,2016-05-22 18:06:05,2016-05-22 18:16:30,1,-73.9918212891,40.7500762939,-73.9710540771,40.7566986084,N,625
id2505596,2,2016-05-28 22:53:12,2016-05-28 23:07:31,1,-73.9849853516,40.7485809326,-73.9812774658,40.769115448,N,859
id1630509,2,2016-03-16 05:42:49,2016-03-16 05:45:10,2,-73.9936676025,40.7418785095,-73.984588623,40.7542991638,N,141
id0512853,1,2016-05-28 17:40:21,2016-05-28 17:56:44,1,-73.9695663452,40.7691650391,-73.9865264893,40.7303352356,N,983
id3089912,2,2016-06-13 13:22:04,2016-06-13 13:31:29,2,-73.9899597168,40.7410812378,-73.9769668579,40.7474517822,N,565
id1137965,1,2016-05-16 15:02:10,2016-05-16 15:08:01,1,-73.9891357422,40.7750205994,-73.9818191528,40.7660598755,N,351
id3677225,2,2016-01-09 15:07:03,2016-01-09 15:12:45,1,-73.967880249,40.7598114014,-73.9538269043,40.778881073,N,342
id0401226,1,2016-05-26 06:37:10,2016-05-26 06:52:19,4,-74.0067062378,40.7055549622,-73.9916915894,40.7497215271,N,909
id2452605,2,2016-05-22 22:42:31,2016-05-22 22:46:18,1,-73.9962692261,40.7498512268,-73.9947662354,40.7364807129,N,227
id3618302,2,2016-04-19 09:27:04,2016-04-19 09:45:02,6,-73.9873199463,40.7506408691,-73.9892883301,40.769405365,N,1078
id1552358,2,2016-04-01 07:55:30,2016-04-01 08:10:30,1,-73.9754333496,40.7521324158,-73.9907836914,40.7509422302,N,900
id1168234,1,2016-02-01 18:02:59,2016-02-01 18:13:30,1,-74.0002059937,40.7378463745,-74.0003128052,40.7228660583,N,631
id2910320,2,2016-04-20 07:33:12,2016-04-20 07:56:17,1,-73.9554595947,40.7673072815,-73.9889984131,40.6931686401,N,1385
id3331830,1,2016-04-12 09:21:27,2016-04-12 09:35:56,1,-73.9648666382,40.7557907104,-73.9758071899,40.7573547363,N,869
id0195963,2,2016-06-19 18:39:05,2016-06-19 18:48:39,1,-73.9991607666,40.7443695068,-73.9887084961,40.7587013245,N,574
id0762989,2,2016-03-17 08:24:27,2016-03-17 08:26:11,1,-73.9776153564,40.7635726929,-73.9725723267,40.7659568787,N,104
id2671060,2,2016-04-07 08:44:32,2016-04-07 08:51:30,1,-73.9531173706,40.7718009949,-73.9479217529,40.7831497192,N,418
id3620795,1,2016-01-01 10:45:24,2016-01-01 10:51:47,1,-74.0016098022,40.7408103943,-73.9962234497,40.7259025574,N,383
id2282206,1,2016-01-04 16:32:42,2016-01-04 16:51:19,2,-73.9621810913,40.8107261658,-73.9948348999,40.7528114319,N,1117
id0591292,1,2016-06-09 18:43:04,2016-06-09 19:07:11,1,-73.9869689941,40.7428512573,-73.9942855835,40.7613563538,N,1447
id0906779,1,2016-04-19 08:31:48,2016-04-19 09:14:11,2,-73.9715576172,40.750629425,-73.9526290894,40.6315956116,N,2543
id2326430,2,2016-06-10 22:06:53,2016-06-10 22:23:14,1,-73.9568786621,40.7748718262,-73.9365081787,40.8571853638,N,981
id3863815,2,2016-03-14 04:24:36,2016-03-14 04:37:11,3,-73.9443588257,40.7144889832,-73.9105300903,40.7094917297,N,755
id3048297,2,2016-04-06 08:53:11,2016-04-06 09:14:08,1,-73.9727935791,40.7555961609,-73.8731231689,40.7744560242,N,1257
id3649509,1,2016-04-02 14:46:23,2016-04-02 15:06:44,2,-74.0055465698,40.7092628479,-73.9701461792,40.7627410889,N,1221
id1783063,2,2016-04-06 12:24:22,2016-04-06 12:40:02,2,-73.9846496582,40.7459793091,-73.9773788452,40.7596511841,N,940
id3363012,2,2016-04-12 20:22:49,2016-04-12 20:24:55,1,-73.9619674683,40.7700805664,-73.9607772827,40.7750511169,N,126
id0514638,1,2016-02-10 08:36:33,2016-02-10 08:42:23,1,-73.9694213867,40.8000335693,-73.9681777954,40.7917022705,N,350
id0627115,2,2016-02-26 16:10:47,2016-02-26 16:23:04,1,-73.9826278687,40.7621116638,-73.9933700562,40.7474899292,N,737
id3141299,2,2016-01-14 12:25:54,2016-01-14 12:37:24,3,-73.9957733154,40.7425689697,-74.0080947876,40.7227706909,N,690
id2003497,1,2016-04-15 11:58:45,2016-04-15 12:09:56,2,-74.0000762939,40.748298645,-73.9898834229,40.7379646301,N,671
id3748197,1,2016-02-07 23:17:58,2016-02-07 23:25:41,1,-73.999168396,40.7342338562,-73.982093811,40.7402763367,N,463
id2983261,1,2016-04-15 14:41:14,2016-04-15 14:47:21,1,-74.014251709,40.7139129639,-74.0046234131,40.7053833008,N,367
id0485870,2,2016-06-19 20:23:09,2016-06-19 20:29:18,1,-73.9908981323,40.7506637573,-73.9932174683,40.7341995239,N,369
id0835694,1,2016-01-15 19:25:12,2016-01-15 19:31:54,1,-73.9751052856,40.7556915283,-73.9855957031,40.7474746704,N,402
id3426410,2,2016-02-18 09:27:07,2016-02-18 09:45:20,5,-73.9674377441,40.759349823,-74.0126876831,40.7016105652,N,1093
id3673678,2,2016-01-31 13:52:55,2016-01-31 14:03:52,1,-73.9759979248,40.7511367798,-74.0018539429,40.7352294922,N,657
id2460349,1,2016-01-07 15:40:34,2016-01-07 15:49:24,2,-73.9789505005,40.7509307861,-73.9643936157,40.7549629211,N,530
id3198639,1,2016-06-05 03:02:46,2016-06-05 03:14:59,1,-73.9797897339,40.7812652588,-73.9408798218,40.823223114,N,733
id1872601,2,2016-05-31 19:16:05,2016-05-31 19:27:44,2,-73.9868621826,40.7509613037,-74.0053787231,40.7400283813,N,699
id0125957,1,2016-06-14 21:16:43,2016-06-14 21:21:37,2,-73.9670181274,40.7530059814,-73.9516296387,40.7693595886,N,294
id3526986,2,2016-02-23 13:28:59,2016-02-23 13:40:00,1,-73.9703826904,40.7649917603,-73.9496688843,40.7684593201,N,661
id3170873,1,2016-06-30 21:35:27,2016-06-30 21:46:19,1,-74.0024337769,40.7171669006,-73.9859695435,40.7267494202,N,652
id1674373,2,2016-02-15 17:52:27,2016-02-15 18:02:13,5,-74.0074996948,40.7409515381,-74.0166473389,40.7049102783,N,586
id2973697,2,2016-04-07 22:52:23,2016-04-07 23:10:00,2,-73.9953842163,40.7492980957,-73.9893264771,40.7181472778,N,1057
id1592044,1,2016-01-29 11:23:23,2016-01-29 11:33:03,1,-73.9866790771,40.7258491516,-73.997467041,40.7351531982,N,580
id3899813,2,2016-06-01 20:15:24,2016-06-01 20:34:35,5,-73.9800262451,40.7659683228,-73.9912033081,40.7503509521,N,1151
id2075052,1,2016-04-09 09:09:03,2016-04-09 09:20:03,1,-73.954498291,40.7668075562,-73.9877853394,40.7208786011,N,660
id3707411,1,2016-01-03 02:03:39,2016-01-03 02:17:02,1,-74.0077285767,40.7406082153,-73.9835128784,40.7372093201,N,803
id1608545,1,2016-04-14 08:31:03,2016-04-14 09:03:37,1,-74.0067977905,40.7310714722,-73.9749603271,40.7584686279,N,1954
id3517425,2,2016-01-16 20:34:06,2016-01-16 20:51:16,6,-73.9809265137,40.755241394,-74.0045547485,40.7296524048,N,1030
id3942917,1,2016-04-29 14:18:39,2016-04-29 15:05:36,4,-73.86277771,40.7693138123,-73.9861297607,40.7485809326,N,2817
id2000923,2,2016-03-29 06:07:38,2016-03-29 06:09:03,5,-73.9878692627,40.7650985718,-73.9936065674,40.7589492798,N,85
